original,normalized,iso_639_1,iso_639_3,count
Southwestern Dinka,Southwestern Dinka,,dik,1
Sudanese Arabic,Sudanese Arabic,,apd,1
Surmic,Surmic,,,1
Susu,Susu,,sus,1
Swahili (Congo),Swahili,,,1
Swiss German,German,de,deu,1
Swiss-German,German,de,deu,1
Sylheti,Sylheti,,syl,1
Synthetic,Synthetic,,,1
Ta'izzi-Adeni Arabic,Ta'izzi-Adeni Arabic,,acq,1
Tabassaran,Tabassaran,,tab,1
Tahitian,Tahitian,ty,tah,1
Taiwanese,Taiwanese,,,1
Talysh,Talysh,,tly,1
Tamasheq,Tamasheq,,taq,1
Tamazight,Tamazight,,,1
Tamazight (Tifinagh),Tamazight,,,1
Tarascan,Tarascan,,,1
Tenek,Tenek,,,1
Tenharim,Tenharim,,pah,1
Teotitlán del Valle Zapotec,Teotitlan Del Valle Zapotec,,,1
Tepehuano,Tepehuano,,,1
Teréna,Terena,,,1
Teso,Teso,,teo,1
Tetum,Tetum,,tet,1
Tikúna,Tikuna,,,1
Tindi,Tindi,,tin,1
Tiv,Tiv,,tiv,1
Toposa,Toposa,,toq,1
Tosk Albanian,Tosk Albanian,,als,1
Tsakhur,Tsakhur,,tkr,1
Tsamai,Tsamai,,tsb,1
Tshivenda,Tshivenda,,,1
Tswa,Tswa,,tsc,1
Tukano,Tukano,,,1
Tupuri,Tupuri,,tui,1
Turkana,Turkana,,tuv,1
Turkic,Turkic,,,1
Tuvan,Tuvan,,,1
Tuvinian,Tuvinian,,tyv,1
Tz'utujil,Tz'utujil,,tzj,1
Tzeltal,Tzeltal,,tzh,1
Udi,Udi,,udi,1
Udmurt,Udmurt,,udm,1
Urum,Urum,,uum,1
Venda,Venda,ve,ven,1
Veps,Veps,,vep,1
Verilog,Verilog,,,1
Vlaams,Vlaams,,vls,1
Volapük,Volapük,vo,vol,1
Walloon,Walloon,wa,wln,1
Wambaya,Wambaya,,wmb,1
Wapixána,Wapixana,,,1
Western Panjabi,Western Panjabi,,pnb,1
Wolaytta,Wolaytta,,wal,1
Wu,Wu,,,1
Wu Chinese,Wu Chinese,,wuu,1
Xavánte,Xavánte,,xav,1
Xiang,Xiang,,,1
Xitsonga,Xitsonga,,,1
Yakkha,Yakkha,,,1
Yanomámi,Yanomámi,,wca,1
Yem,Yem,,,1
Yemeni Arabic,Yemeni Arabic,,,1
Yi,Yiddish,yi,yid,1
Yucateco,Yucateco,,yua,1
Yue,Cantonese,yue,yue,1
Yupik,Yupik,,,1
Zapotec,Zapotec,,zap,1
Zarma,Zarma,,dje,1
Zaza,Zaza,,zza,1
Zazaki,Zazaki,,,1
Zoque,Zoque,,,1
ady,Adyghe,,ady,1
amh,Amharic,,,1
and 144 other languages,And 144 Other Languages,,,1
and 26 total languages,And 26 Total Languages,,,1
and 40 total languages in McEval,And 40 Total Languages In Mceval,,,1
and 75 languages total,And 75 Languages Total,,,1
ara,Arabic,ar,ara,1
arp,Arapaho,,arp,1
aym,Aymara,,aym,1
cni,Ashaninka,,cni,1
cpa,Chin,,cpa,1
cre,Cree,cr,cre,1
ddo,Tsez,,ddo,1
deu,German,de,deu,1
eus,Basque,eu,eus,1
evn,Evenki,ev,evn,1
fas,Persian,fa,fas,1
fin,Finnish,fi,fin,1
gle,Irish,ga,gle,1
guj,Gujarati,gu,guj,1
hai,Haida,,hai,1
ind,Indonesian,id,ind,1
khk,Halh Mongolian,,khk,1
kor,Korean,ko,kor,1
lean4,Lean4,,,1
mni,Manipuri,,mni,1
multiple cross-lingual languages,Multiple Cross Lingual Languages,,,1
multiple other languages,Multiple Other Languages,,,1
nav,Navajo,nv,nav,1
ntu,Natügu,,ntu,1
nêhiyawêwin,Nehiyawewin,,,1
que,Quechua,qu,que,1
rus,Russian,ru,rus,1
see,Seneca,,see,1
semantic LaTeX,Semantic Latex,,,1
spa,Spanish,es,spa,1
swc,Congo Swahili,,swc,1
tur,Turkish,tr,tur,1
various FLORES languages,Various Flores Languages,,,1
zul,Zulu,zu,zul,1
Éwé,Ewe,,,1
