original,normalized,count
Acc_num,ACC NUM,1
Acc_oe,ACC OE,1
Acc_plp,ACC PLP,1
Acc_word,ACC WORD,1
Acceptable Ratio,ACCEPTABLE RATIO,1
Acceptable@N,ACCEPTABLE@N,1
Acceptance rate,ACCEPTANCE RATE,1
Accumulative Degradation,ACCUMULATIVE DEGRADATION,1
Accuracy (ACC),ACCURACY ACC,1
Accuracy (Acc),ACCURACY ACC,1
Accuracy (Accuracy),ACCURACY ACCURACY,1
Accuracy (Controllable),ACCURACY CONTROLLABLE,1
Accuracy (Dialogue),ACCURACY DIALOGUE,1
Accuracy (Proactive),ACCURACY PROACTIVE,1
Accuracy (Turn),ACCURACY TURN,1
Accuracy (adjusted for country priors),ACCURACY ADJUSTED FOR COUNTRY PRIORS,1
Accuracy (distracted),ACCURACY DISTRACTED,1
Accuracy (gold),ACCURACY GOLD,1
Accuracy (invalid),ACCURACY INVALID,1
Accuracy (language identification),ACCURACY LANGUAGE IDENTIFICATION,1
Accuracy (top-1),ACCURACY TOP,1
Accuracy (top-10),ACCURACY TOP,1
Accuracy (top-3),ACCURACY TOP,1
Accuracy 2-tuple,ACCURACY 2 TUPLE,1
Accuracy Gap (Acc gap),ACCURACY GAP ACC GAP,1
Accuracy Rate,ACCURACY RATE,1
Accuracy Under Attack,ACCURACY UNDER ATTACK,1
Accuracy and Depth,ACCURACY AND DEPTH,1
Accuracy at Budget,ACCURACY AT BUDGET,1
Accuracy of keyword inclusion,ACCURACY OF KEYWORD INCLUSION,1
Accuracy of position control,ACCURACY OF POSITION CONTROL,1
Accuracy triple,ACCURACY TRIPLE,1
Accuracy%,ACCURACY,1
Accuracy+,ACCURACY,1
Accuracy-K,ACCURACY,1
Accuracy-U,ACCURACY,1
Accuracy@0,ACCURACY,1
Accuracy@50,ACCURACY,1
Accuracy@60,ACCURACY,1
Accuracy@K,ACCURACY,1
Accuracy@N,ACCURACY@N,1
Accurate Rate (AR),ACCURATE RATE AR,1
Accurate Role-related Knowledge,ACCURATE ROLE RELATED KNOWLEDGE,1
Acc†,ACC,1
Acoustic&Harmonic Quality,ACOUSTIC HARMONIC QUALITY,1
Act goal completion,ACT GOAL COMPLETION,1
Act-slot F1,ACT SLOT F1,1
Action Accuracy,ACTION ACCURACY,1
Action Count,ACTION COUNT,1
Action EM,ACTION EM,1
Action Score,ACTION,1
Action Type Accuracy (Type),ACTION TYPE ACCURACY TYPE,1
Action Validity,ACTION VALIDITY,1
Action matching probability,ACTION MATCHING PROBABILITY,1
Action-level F1,ACTION LEVEL F1,1
Action-level Precision,ACTION LEVEL PRECISION,1
Action-level Recall,ACTION LEVEL RECALL,1
Ad-hoc reasoning,AD HOC REASONING,1
Adaptability,ADAPTABILITY,1
Adaptation Score,ADAPTATION,1
Addressing Position Alignment,ADDRESSING POSITION ALIGNMENT,1
Adequacy,ADEQUACY,1
Adjacent Agreement Rate (AAR1),ADJACENT AGREEMENT RATE AAR1,1
Adjacent Pairwise Accuracy,ADJACENT PAIRWISE ACCURACY,1
Adjusted Rand Index (ARI),ADJUSTED RAND INDEX,1
Adjusted Win Rate,ADJUSTED WIN RATE,1
Adv-Acc,ADV ACC,1
Advanced API usage rate,ADVANCED API USAGE RATE,1
Advanced Type-Token Ratio,ADVANCED TYPE TOKEN RATIO,1
Adversarial Accuracy,ADVERSARIAL ACCURACY,1
Adversarial Clean Accuracy,ADVERSARIAL CLEAN ACCURACY,1
Adversarial Goal Achievement Rate,ADVERSARIAL GOAL ACHIEVEMENT RATE,1
Adversarial Relevance Score,ADVERSARIAL RELEVANCE,1
Adversarial Retrieval Rate,ADVERSARIAL RETRIEVAL RATE,1
Adverse Correction Rate (ACR),ADVERSE CORRECTION RATE ACR,1
Aesthetic Alignment Score (AAS),AESTHETIC ALIGNMENT AAS,1
Affinity,AFFINITY,1
Affinity Bias Score (ABS),AFFINITY BIAS ABS,1
AfriCOMET-MTL,AFRICOMET MTL,1
AfriCOMET-QE-MTL,AFRICOMET QE MTL,1
AfriCOMET-QE-STL,AFRICOMET QE MTL,1
AfriCOMET-STL,AFRICOMET MTL,1
After-Attack Accuracy,AFTER ATTACK ACCURACY,1
Age accuracy,AGE ACCURACY,1
Agency Accuracy,AGENCY ACCURACY,1
Agency Lexicon Accuracy,AGENCY LEXICON ACCURACY,1
Agg,AGG,1
Agg-BERTScore,AGG BERTSCORE,1
Agg-LENS,AGG LENS,1
Agg-LENS-SALSA,AGG LENS SALSA,1
Agg-REFEREE,AGG REFEREE,1
Agg-SARI,AGG SARI,1
Agg-SLE,AGG SLE,1
"Aggregate Score (r-AGG, a-AGG)",AGGREGATE R AGG A AGG,1
Aggregated Masked PSNR (AMP),AGGREGATED MASKED PSNR AMP,1
Aggregated similarity,AGGREGATED SIMILARITY,1
Aggregation Cognisance (Ag),AGGREGATION COGNISANCE AG,1
Agreement Entropy,AGREEMENT ENTROPY,1
Agreement Rate with Human,AGREEMENT RATE WITH HUMAN,1
Agreement Score (AS),AGREEMENT AS,1
Agreement rate,AGREEMENT RATE,1
Algebraic integrity,ALGEBRAIC INTEGRITY,1
Align-Score,ALIGN,1
Alignment Path Score,ALIGNMENT PATH,1
Alignment Ranking,ALIGNMENT RANKING,1
Alignment Score,ALIGNMENT,1
Alignment metrics,ALIGNMENT METRICS,1
Alignment rate,ALIGNMENT RATE,1
Alignment score,ALIGNMENT,1
Alignment with human annotations,ALIGNMENT WITH HUMAN ANNOTATIONS,1
All Modality Steps,ALL MODALITY STEPS,1
All Present,ALL PRESENT,1
All accuracy,ALL ACCURACY,1
AllSameDis,ALLSAMEDIS,1
Alliteration Score,ALLITERATION,1
AlpacaEval 2.0 Length Controlled,ALPACAEVAL 2 0 LENGTH CONTROLLED,1
AlpacaEval 2.0 length-controlled win rate,ALPACAEVAL 2 0 LENGTH CONTROLLED WIN RATE,1
AlpacaEval 2.0 win rate,ALPACAEVAL 2 0 WIN RATE,1
AlpacaEval 2.0 win-rate,ALPACAEVAL 2 0 WIN RATE,1
AlpacaEval Win Rate,ALPACAEVAL 2 0 WIN RATE,1
AlpacaEval-2.0 win-rate,ALPACAEVAL 2 0 WIN RATE,1
AlpacaEval2.0,ALPACAEVAL,1
Amber,AMBER,1
Ambiguity,AMBIGUITY,1
Ambiguity Differentiation (AmbDif),AMBIGUITY DIFFERENTIATION AMBDIF,1
AnaScore,ANASCORE,1
Analysis of Variance (ANOVA),ANALYSIS OF VARIANCE ANOVA,1
Analytical Score,ANALYTICAL,1
Angular Similarity,ANGULAR SIMILARITY,1
Annotated Toxic Probability,ANNOTATED TOXIC PROBABILITY,1
Annualized Volatility,ANNUALIZED VOLATILITY,1
Ansible Aware,ANSIBLE AWARE,1
Answer Consistency Ratio,ANSWER CONSISTENCY RATIO,1
Answer Consistency Ratio (ACR),ANSWER CONSISTENCY RATIO,1
Answer Contains Label,ANSWER CONTAINS LABEL,1
Answer Count,ANSWER COUNT,1
Answer Denotation Accuracy,ANSWER DENOTATION ACCURACY,1
Answer Difference,ANSWER DIFFERENCE,1
Answer Entity Hit Rate,ANSWER ENTITY HIT RATE,1
Answer Match,ANSWER MATCH,1
Answer Precision,ANSWER PRECISION,1
Answer Quality (AQ),ANSWER QUALITY,1
Answer Recall (Ans),ANSWER RECALL ANS,1
Answer Score,ANSWER,1
Answer Similarity,ANSWER SIMILARITY,1
Answer String Containment,ANSWER STRING CONTAINMENT,1
Answer correctness,ANSWER CORRECTNESS,1
Answer-F1,ANSWER F1,1
AnswerRecall@k,ANSWER RECALL,1
Answerability,ANSWERABILITY,1
Anthropomorphism,ANTHROPOMORPHISM,1
Anticipation Rate (AR%),ANTICIPATION RATE AR,1
AnyDisEmpty,ANYDISEMPTY,1
AnyDisFromTrainDis,ANYDISFROMTRAINDIS,1
AnyDisInText,ANYDISINTEXT,1
AnyDisRefMatch,ANYDISREFMATCH,1
AnyDisRep,ANYDISREP,1
AnySameDis,ANYSAMEDIS,1
Appropriateness (GPT-4o),APPROPRIATENESS GPT 4O,1
Appropriateness Flip Rate,APPROPRIATENESS FLIP RATE,1
Approx Acc,APPROX ACC,1
Approximation Ratio,APPROXIMATION RATIO,1
Arc-acc,ARC ACC,1
Arc-word,ARC WORD,1
ArcFace,ARCFACE,1
Area Precision,AREA PRECISION,1
Area Recall,AREA RECALL,1
Area Under Curve (AUC),AREA UNDER CURVE AUC,1
Area Under the Perturbation Curve (AUPC),AREA UNDER THE PERTURBATION CURVE AUPC,1
Area Under the Precision-Recall Curve (PR-AUC),AREA UNDER THE PRECISION RECALL CURVE PR AUC,1
Area under ROC,AREA UNDER ROC,1
Arg Match (full),ARG MATCH FULL,1
Arg Match (functions),ARG MATCH FUNCTIONS,1
Arg-C,ARG,1
Arg-I,ARG,1
Arg-Judge,ARG JUDGE,1
ArgJudge,ARG JUDGE,1
Argument F1,ARGUMENT F1,1
Argument Groundedness,ARGUMENT GROUNDEDNESS,1
Argument Quality (AQ),ARGUMENT QUALITY,1
Argument Relevance F1,ARGUMENT RELEVANCE F1,1
Argument Relevance Precision,ARGUMENT RELEVANCE PRECISION,1
Argument Relevance Recall,ARGUMENT RELEVANCE RECALL,1
Argument name precision,ARGUMENT NAME PRECISION,1
Argument name recall,ARGUMENT NAME RECALL,1
Argument quality score,ARGUMENT QUALITY,1
Argument-Answer Coherence,ARGUMENT ANSWER COHERENCE,1
ArmoRM score,ARMORM,1
Arousal Level,AROUSAL LEVEL,1
Arousal scores,AROUSAL SCORES,1
Article Length,ARTICLE LENGTH,1
Article-n,ARTICLE,1
Aspect Coverage,ASPECT COVERAGE,1
Aspect Identification,ASPECT IDENTIFICATION,1
Aspect coverage,ASPECT COVERAGE,1
Aspect-based sentiment analysis,ASPECT BASED SENTIMENT ANALYSIS,1
Assessment Consistency,ASSESSMENT CONSISTENCY,1
Assessment Scores,ASSESSMENT SCORES,1
Assistant Turn-taking Acc@k,ASSISTANT TURN TAKING ACC,1
Attack Effectiveness,ATTACK EFFECTIVENESS,1
Attack Successful Rate,ATTACK SUCCESSFUL RATE,1
Attacker Recognition Accuracy,ATTACKER RECOGNITION ACCURACY,1
Attacking speed,ATTACKING SPEED,1
Attempt Count (c_100),ATTEMPT COUNT C,1
Attention Loss (MSE),ATTENTION LOSS MSE,1
Attention Score,ATTENTION,1
Attention Weight,ATTENTION WEIGHT,1
Attention gain,ATTENTION GAIN,1
Attention score,ATTENTION,1
Attn-Entropy-AVG,ATTN ENTROPY,1
Attn-Entropy-MAX,ATTN ENTROPY MAX,1
Attn-OT,ATTN OT,1
AttriScore,ATTRISCORE,1
Attributability,ATTRIBUTABILITY,1
Attributability Score,ATTRIBUTABILITY,1
Attribute Accuracy,ATTRIBUTE ACCURACY,1
Attribute Polarity Score,ATTRIBUTE POLARITY,1
Attribute Relevance,ATTRIBUTE RELEVANCE,1
Attribute micro-F1,ATTRIBUTE F1,1
Attribute relevance,ATTRIBUTE RELEVANCE,1
Attributes Rate,ATTRIBUTES RATE,1
Attribution,ATTRIBUTION,1
Attribution Score,ATTRIBUTION,1
Attscore,ATTSCORE,1
AuPEL,AUPEL,1
Audio Parsimony,AUDIO PARSIMONY,1
Author Classification,AUTHOR CLASSIFICATION,1
Author Verification Accuracy (AVA),AUTHOR VERIFICATION ACCURACY AVA,1
Authorship identification accuracy,AUTHORSHIP IDENTIFICATION ACCURACY,1
Auto-QA,AUTO QA,1
Auto-evaluator agreement,AUTO EVALUATOR AGREEMENT,1
Auto-rate,AUTO RATE,1
AutoMQM,AUTOMQM,1
AutoRank,AUTORANK,1
AutoSum-mENG,AUTOSUM MENG,1
Automated Readability Index (ARI),AUTOMATED READABILITY INDEX,1
Availability,AVAILABILITY,1
Average #Iterations,ITERATIONS,1
Average Accuracy (AA),ACCURACY AA,1
Average Advantage Probability (ρ),ADVANTAGE PROBABILITY,1
Average Age of Acquisition,AGE OF ACQUISITION,1
Average Age of Acquisition (AoA),AGE OF ACQUISITION,1
Average Class Accuracy,CLASS ACCURACY,1
Average CoT Token Count,COT TOKEN COUNT,1
Average Completion Proportion,COMPLETION PROPORTION,1
Average Completion Time,COMPLETION TIME,1
Average Confidence Score,CONFIDENCE,1
Average Conversation Rounds,CONVERSATION ROUNDS,1
Average Correct Paths,CORRECT PATHS,1
Average Cost per Instance,COST PER INSTANCE,1
Average Decision Rank,DECISION RANK,1
Average Degree Score,DEGREE,1
Average Distillation Ratio,DISTILLATION RATIO,1
Average Donation Amount,DONATION AMOUNT,1
Average Entropy,ENTROPY,1
Average Exploration Score,EXPLORATION,1
Average Extraction Rate (AER),EXTRACTION RATE AER,1
Average Generation Latency (AGL),GENERATION LATENCY AGL,1
Average Generations,GENERATIONS,1
Average Gold Score,GOLD,1
Average Group Fairness,GROUP FAIRNESS,1
Average Harmfulness Score,HARMFULNESS,1
Average Inference Time,INFERENCE TIME,1
Average Inquired Missing Details,INQUIRED MISSING DETAILS,1
Average Inquired Missing Details Per Round,INQUIRED MISSING DETAILS PER ROUND,1
Average Inquiry Turns,INQUIRY TURNS,1
Average Length Difference,LENGTH DIFFERENCE,1
Average Likelihood Ratio,LIKELIHOOD RATIO,1
Average Log-Probability,LOG PROBABILITY,1
Average Max Toxicity,MAX TOXICITY,1
Average Model Score (0-10),MODEL 0,1
Average Negative Log Probability,NEGATIVE LOG PROBABILITY,1
Average Number of Attempts,NUMBER OF ATTEMPTS,1
Average Number of Questions,NUMBER OF QUESTIONS,1
Average Overlap,OVERLAP,1
Average Precision (AP),PRECISION AP,1
Average Probability Score,PROBABILITY,1
Average Progress Rate,PROGRESS RATE,1
Average Progress Score,PROGRESS,1
Average Property Score,PROPERTY,1
Average Provided Options,PROVIDED OPTIONS,1
Average Query Count (AQC),QUERY COUNT AQC,1
Average Query Time (AQT),QUERY TIME AQT,1
Average ROUGE,ROUGE,1
Average Ranking Score,RANKING,1
Average Regards Difference,REGARDS DIFFERENCE,1
Average Relative Gain (ARG),RELATIVE GAIN ARG,1
Average Relevance,RELEVANCE,1
Average Response Time,RESPONSE TIME,1
Average Reward Score,REWARD,1
Average Rewards,REWARD,1
Average Routing Overhead Latency (AROL),ROUTING OVERHEAD LATENCY AROL,1
Average Safe Driving Distance,SAFE DRIVING DISTANCE,1
Average Safety Score,SAFETY,1
Average Score with Repetition (Avg-R),WITH REPETITION,1
Average Semantic Overlap,SEMANTIC OVERLAP,1
Average Success Rate,SUCCESS RATE,1
Average Summary Length,SUMMARY LENGTH,1
Average Survival Round,SURVIVAL ROUND,1
Average Token Delay,TOKEN DELAY,1
Average Token Generation Time Ratio,TOKEN GENERATION TIME RATIO,1
Average Token Generation Time Ratio (ATGR),TOKEN GENERATION TIME RATIO,1
Average Token Length,TOKEN LENGTH,1
Average Token Log-Probability,TOKEN LOG PROBABILITY,1
Average Turns (AT),TURN AT,1
Average Turns to Resolution,TURNS TO RESOLUTION,1
Average gap in seconds,GAP IN SECONDS,1
Average number of questions per game,NUMBER OF QUESTIONS PER GAME,1
Average number of turns,NUMBER OF TURNS,1
Average prediction set size,PREDICTION SET SIZE,1
Average rank,RANK,1
Average response length,RESPONSE LENGTH,1
Average reward,REWARD,1
Average search time,SEARCH TIME,1
Average sub-token rank,SUB TOKEN RANK,1
Average text length,TEXT LENGTH,1
Average token length,TOKEN LENGTH,1
Average token probability,TOKEN PROBABILITY,1
Average utterance length,UTTERANCE LENGTH,1
Average word embedding similarity,WORD EMBEDDING SIMILARITY,1
Avg Answer Length,ANSWER LENGTH,1
Avg Scores,SCORES,1
Avg-RA,RA,1
Avg-UA,UA,1
Avg. Turns,TURNS,1
AvgRec,AVGREC,1
AvgTry,AVGTRY,1
A²CU,A CU,1
B,B,1
B-Cubed F1 Score,B CUBED F1,1
B1,B1,1
BAK,BAK,1
BART Score,BART,1
BART-Score,BART,1
BARTScore++,BARTSCORE,1
BBScore,BBSCORE,1
BBScoreV2,BBSCOREV2,1
BCE,BCE,1
BCFS,BCFS,1
BCR,BCR,1
BE5,BE5,1
BEGIN,BEGIN,1
BER,BER,1
BERT F1,BERT F1,1
BERT Log Probability,BERT LOG PROBABILITY,1
BERT Match,BERT MATCH,1
BERT Matching,BERT MATCHING,1
BERT Similarity,BERT SIMILARITY,1
BERT Similarity Score,BERT SIMILARITY,1
BERT likelihood,BERT LIKELIHOOD,1
BERT regressor,BERT REGRESSOR,1
BERT+Cos+Doc,BERT+COS+DOC,1
BERT+Cos+Ref,BERT+COS+REF,1
BERT-F1,BERT F1,1
BERT-MLM,BERT MLM,1
BERT-R,BERT,1
BERT-S++,BERT S++,1
BERT-STS,BERT STS,1
BERT-based RUBER,BERT BASED RUBER,1
BERT-based language models,BERT BASED LANGUAGE MODELS,1
BERT-based recall@k,BERT BASED RECALL,1
BERT-based semantic similarity,BERT BASED SEMANTIC SIMILARITY,1
BERT-retrieval,BERT RETRIEVAL,1
BERT-score,BERT,1
BERT-sentence embedding distances (cosine similarity),BERT SENTENCE EMBEDDING DISTANCES COSINE SIMILARITY,1
BERT-to-BERT,BERT TO BERT,1
BERTFaithful,BERTFAITHFUL,1
BERTSAGE,BERTSAGE,1
BERTScore++,BERTSCORE,1
BERTScore-FFCI,BERTSCORE FFCI,1
BERTScore-KPQA,BERTSCORE KPQA,1
BERTScore_Ctx,BERTSCORE CTX,1
BERTopic,BERTOPIC,1
BEST,BEST,1
BETS,BETS,1
BEq+,BEQ+,1
BEqL,BEQL,1
BEwT-E,BEWT,1
BFCL Overall Accuracy,BFCL OVERALL ACCURACY,1
BI,BI,1
BIC,BIC,1
BINSIM,BINSIM,1
BIS,BIS,1
BLAST,BLAST,1
BLD Score,BLD,1
BLEU-1-KPQA,BLEU 1 KPQA,1
BLEU-C,BLEU,1
BLEU-L,BLEU,1
BLEU-P,BLEU,1
BLEU-PT,BLEU PT,1
BLEU1-sim,BLEU1 SIM,1
BLEU@5,BLEU,1
BLEURT-EXTENDED,BLEURT EXTENDED,1
BLEU_WAS,BLEU WAS,1
BLEnD,BLEND,1
BLIMP Accuracy,BLIMP ACCURACY,1
BLINK,BLINK,1
BLIP Score,BLIP,1
BLIP Similarity,BLIP SIMILARITY,1
BLIP-2 Retrieval,BLIP 2 RETRIEVAL,1
BLIP2-ITC,BLIP2 ITC,1
BLIP2-ITM,BLIP2 ITM,1
BLOND+,BLOND+,1
BLOND-D,BLONDE,1
BLOOD,BLOOD,1
BLURT,BLEURT,1
BOLD,BOLD,1
BP,BP,1
BPB,BPB,1
BPW,BPW,1
BRI,BRI,1
BS-F1 ref,BS F1 REF,1
BS-FACT,BS FACT,1
BS-P src,BS P SRC,1
BSS,BSS,1
BUR,BUR,1
BUS,BUS,1
B^3,B,1
B_H0.1,B H0,1
Backtracking Ratio,BACKTRACKING RATIO,1
Backward Transfer (BWT),BACKWARD TRANSFER BWT,1
Backward-BLEU,BACKWARD BLEU,1
Bag of Character Relations,BAG OF CHARACTER RELATIONS,1
Bag of Characters,BAG OF CHARACTERS,1
Bag-of-symbols Disentanglement,BAG OF SYMBOLS DISENTANGLEMENT,1
Bag-of-symbols Disentanglement (BosDis),BAG OF SYMBOLS DISENTANGLEMENT BOSDIS,1
Bag-of-words logistic regression,BAG OF WORDS LOGISTIC REGRESSION,1
Balance,BALANCE,1
Balanced Brier Score,BALANCED BRIER,1
Balanced ECE,BALANCED ECE,1
Base Clean Accuracy,BASE CLEAN ACCURACY,1
Base Rate,BASE RATE,1
Base64 Decoding Correctness,BASE64 DECODING CORRECTNESS,1
Baseline Comparison,BASELINE COMPARISON,1
Basic Value Evaluator,BASIC VALUE EVALUATOR,1
BasicTPS,BASICTPS,1
Bayesian Information Criterion (BIC),BAYESIAN INFORMATION CRITERION BIC,1
Bayesian Information Gain,BAYESIAN INFORMATION GAIN,1
Beam Search,BEAM SEARCH,1
Beat Accuracy,BEAT ACCURACY,1
Beat F1,BEAT F1,1
Beat Rate,BEAT RATE,1
Behavioral Accuracy,BEHAVIORAL ACCURACY,1
Behavioral Coherence,BEHAVIORAL COHERENCE,1
Beneficial Correction Rate (BCR),BENEFICIAL CORRECTION RATE BCR,1
Benefit Capture Rate,BENEFIT CAPTURE RATE,1
Benign Answering Rate,BENIGN ANSWERING RATE,1
Best Fixed Probability,BEST FIXED PROBABILITY,1
Best-Match Accuracy,BEST MATCH ACCURACY,1
Best-of-N Accuracy,BEST OF N ACCURACY,1
Best-of-N Sampling,BEST OF N SAMPLING,1
Beta Distribution,BETA DISTRIBUTION,1
Bhattacharyya distance,BHATTACHARYYA DISTANCE,1
Bi-Aligned,BI ALIGNED,1
Bi-SoftSPICE,BI SOFTSPICE,1
BiFact,BIFACT,1
BiP,BIP,1
Bias,BIAS,1
Bias Direction,BIAS DIRECTION,1
Bias Judge,BIAS JUDGE,1
Bias Magnitude,BIAS MAGNITUDE,1
Bias Rate,BIAS RATE,1
Bias Score Difference,BIAS DIFFERENCE,1
Bias detection rate,BIAS DETECTION RATE,1
Bias rate (GPT-4 evaluation),BIAS RATE GPT 4 EVALUATION,1
Bias ratio,BIAS RATIO,1
Bias score,BIAS,1
Bias@K,BIAS,1
BiasFo,BIASFO,1
BiasScore,BIASSCORE,1
Biasing Features,BIASING FEATURES,1
Biasness,BIASNESS,1
Bicleaner-AI,BICLEANER AI,1
Bidirectional entailment score,BIDIRECTIONAL ENTAILMENT,1
Big Five Inventory score,BIG FIVE INVENTORY,1
Bigram Coverage,BIGRAM COVERAGE,1
Bilingual Lexicon Induction Accuracy,BILINGUAL LEXICON INDUCTION ACCURACY,1
Binary Accuracy,ACCURACY,1
Binary Correctness,CORRECTNESS,1
Binary Cross Entropy,CROSS ENTROPY,1
Binary Cross-Entropy,CROSS ENTROPY,1
Binary Success Rate,SUCCESS RATE,1
Binary Unfair Rate (BUR),UNFAIR RATE BUR,1
Binary Validity Score,VALIDITY,1
Binary accuracy,ACCURACY,1
Binary exact match,EXACT MATCH,1
Binary harmfulness score (GPT-4),HARMFULNESS GPT,1
Binary text classifier for error presence,TEXT CLASSIFIER FOR ERROR PRESENCE,1
Binary token-level F1,TOKEN LEVEL F1,1
Bit-per-English-Byte,BIT PER ENGLISH BYTE,1
Bits Per Character,BITS PER CHARACTER,1
Bits Per Character (BPC),BITS PER CHARACTER,1
Bits Per Word (BPW),BITS PER WORD BPW,1
Bits per Byte,BITS PER BYTE,1
Bits per Byte (BPB),BITS PER BYTE BPB,1
Bits per Dimension,BITS PER DIMENSION,1
Bits per byte,BITS PER BYTE,1
Bits per character,BITS PER CHARACTER,1
Bits per token (BPT),BITS PER TOKEN BPT,1
Bits-Per-Byte,BITS PER BYTE,1
Bits-Per-Character,BITS PER CHARACTER,1
Bits-per-character,BITS PER CHARACTER,1
Bits/word,BITS WORD,1
Bitwise similarity,BITWISE SIMILARITY,1
Blank Accuracy,BLANK ACCURACY,1
Blank string count,BLANK STRING COUNT,1
Blended accuracy-F1,BLENDED ACCURACY F1,1
BleuRT,BLEURT,1
Block Hit Rate,BLOCK HIT RATE,1
Block-Match,BLOCK MATCH,1
Bloom's Taxonomy Level,BLOOM S TAXONOMY LEVEL,1
BoN@N,BON@N,1
Board state inference accuracy,BOARD STATE INFERENCE ACCURACY,1
Bonus Point Coverage (BPC),BONUS POINT COVERAGE BPC,1
BoolQ,BOOLQ,1
Bootstrap statistical test (p-value),BOOTSTRAP STATISTICAL TEST P VALUE,1
Borda Count,BORDA COUNT,1
Boundary F1,BOUNDARY F1,1
Bracket-closing accuracy,BRACKET CLOSING ACCURACY,1
Bradley-Terry Coefficients,BRADLEY TERRY COEFFICIENTS,1
Bradley-Terry Model,BRADLEY TERRY MODEL,1
Bradley-Terry Reward Model,BRADLEY TERRY REWARD MODEL,1
Bradley-Terry aggregation,BRADLEY TERRY AGGREGATION,1
Bradley-Terry coefficients,BRADLEY TERRY COEFFICIENTS,1
Bradley-Terry score,BRADLEY TERRY,1
Bradley-Terry scores,BRADLEY TERRY SCORES,1
Branching Ratio (γB),BRANCHING RATIO,1
Brevity,BREVITY,1
Brier Skill Score,BRIER SKILL,1
Bucket Accuracy,BUCKET ACCURACY,1
Bypass Rate,BYPASS RATE,1
Bypass Rate (BR),BYPASS RATE BR,1
Byte-level Normalized Likelihood,BYTE LEVEL NORMALIZED LIKELIHOOD,1
B³,B,1
B³-F1,B F1,1
Böhm19,B HM19,1
C-ASR,C ASR,1
C-BLEU,C BLEU,1
C-DIST,C DIST,1
C-ELMO,C ELMO,1
C-ELMo,C ELMO,1
C-Eval,C EVAL,1
C-SBERT,C SBERT,1
C@150,C,1
C@50,C,1
C@T,C@T,1
CA,CA,1
CA@1,CA,1
CAC,CAC,1
CACC,CACC,1
CALSCORE,CALSCORE,1
CAPPr,CAPPR,1
CAV accuracy,CAV ACCURACY,1
CBA,CBA,1
CCA,CCA,1
CCP,CCP,1
CCR,CCR,1
CD,CD,1
CD Score,CD,1
CDF,CDF,1
CDGAP,CDGAP,1
CDTA,CDTA,1
CDU,CDU,1
CEAF-REE,CEAF REE,1
CEDS,CEDS,1
CEM,CEM,1
CERR,CERR,1
CEval,CEVAL,1
CFMScore,CFMSCORE,1
CHAIR-I,CHAIR,1
CHAIR-S,CHAIR,1
CHAIR-i,CHAIR,1
CHAIR-s,CHAIR,1
CHAIRi,CHAIR,1
CHAIRs,CHAIR,1
CHAOS,CHAOS,1
CHARTAF-S,CHARTAF,1
CHARTEVAL,CHARTEVAL,1
CHATS-CRITIC,CHATS CRITIC,1
CHI,CHI,1
CHRF+,CHRF++,1
CHRF1,CHRF1,1
CIDEr-D,CIDER,1
CIDEr-R,CIDER,1
CIRE,CIRE,1
CISSP Score,CISSP,1
CITEEVAL-AUTO,CITEEVAL AUTO,1
CIoU,CIOU,1
CLA,CLA,1
CLAIR E,CLAIR,1
CLAP-text similarity,CLAP TEXT SIMILARITY,1
CLEME2.0,CLEME,1
CLIP Recall,CLIP RECALL,1
CLIP alignment score,CLIP ALIGNMENT,1
CLIP cosine distance,CLIP COSINE DISTANCE,1
CLIP cosine similarity,CLIP COSINE SIMILARITY,1
CLIP similarity,CLIP SIMILARITY,1
CLIP-Frame,CLIP FRAME,1
CLIP-IMAGE-Score,CLIP IMAGE,1
CLIP-S tune,CLIP S TUNE,1
CLIP-T,CLIP,1
CLIP-Text,CLIP TEXT,1
CLIP-score,CLIP,1
CLIPBERTSCORE,CLIPBERTSCORE,1
CLIPBERTScore,CLIPBERTSCORE,1
CLIPScore Confidence,CLIPSCORE CONFIDENCE,1
CLIPScore+CIDEr,CLIPSCORE+CIDER,1
CLIPText-S,CLIP TEXT,1
CLM Loss,CLM LOSS,1
CLUST-ROUGE,CLUST ROUGE,1
CLadder,CLADDER,1
CMACC,CMACC,1
CMADE,CMADE,1
CMD Sim,CMD SIM,1
CMDS,CMDS,1
CMI accuracy,CMI ACCURACY,1
CMI correlation,CMI CORRELATION,1
CMMLU,CMMLU,1
CMN,CMN,1
CMOS,CMOS,1
CMPs,CMPS,1
CMPw,CMPW,1
CMSACC,CMACC,1
CNSTSCORE,CNSTSCORE,1
CO,CO,1
COAHA,COAHA,1
COCA,COCA,1
COCO,COCO,1
COM,COM,1
COMET QE,COMET QE,1
COMET-DA,COMET DA,1
COMET-HTER,COMET HTER,1
COMET-KIWI,COMETKIWI,1
COMET-QE-MQM,COMET QE MQM,1
COMET-RANK,COMET RANK,1
COMET-src,COMET SRC,1
COMETDA,COMET DA,1
COMETKIWI22,COMETKIWI,1
COMETKiwi-XL,COMETKIWI XL,1
CONS-R-L,CONS R,1
CONSIST,CONSIST,1
CONST,CONST,1
CONSTRAINT SCORE,CONSTRAINT,1
COR,COR,1
COSINE,COSINE,1
COSINE_DISTANCE,COSINE DISTANCE,1
COSMIC,COSMIC,1
COUNSELINGEVAL,COUNSELINGEVAL,1
COVER-EM,COVER EM,1
COverlap,COVERLAP,1
